Neutrino Depth [m]	Neutrino Min Angle [degrees]	Neutrino Max Angle [degrees]	Hydrophone Depth [m]	Hydrophone Distance [m]	Time of Arrival [s]	Signal Amplitude	Angle of Departure [degrees]	Angle of Arrival [degrees]	Surface Bounces	Bottom Bounces
1100.0	-89.0	-80.0	1600.0	100.0	1.78195369	(-1.2141750638349953e-05-1.854747381482369e-05j)	-87.8817673	87.8714981	1	0
1100.0	-89.0	-80.0	1600.0	100.0	1.78196216	(-3.14639672049268e-05+1.1104908091699714e-05j)	-87.8637238	87.8536377	1	0
1100.0	-89.0	-80.0	1700.0	100.0	2.85478425	(4.619278921673362e-07-4.3109547066229164e-07j)	-88.6933899	-88.6853256	1	1
1100.0	-89.0	-80.0	1700.0	100.0	2.85477328	(3.0192694951529737e-07+4.4273019551413615e-07j)	-88.675354	-88.666748	1	1
1100.0	-89.0	-80.0	1700.0	100.0	1.8472327	(-1.3364679660659998e-05-2.959948439187159e-05j)	-87.9539108	87.942955	1	0
1100.0	-89.0	-80.0	1700.0	100.0	1.84725046	(1.2613346214420203e-06+1.7425926014373844e-05j)	-87.9358749	87.925087	1	0
1100.0	-89.0	-80.0	1800.0	100.0	2.78955793	(-1.01851319325603e-06-2.5125076408842616e-07j)	-88.6573181	-88.6463242	1	1
1100.0	-89.0	-80.0	1800.0	100.0	2.78952146	(-2.2204526856107967e-07+7.177343908509344e-08j)	-88.6392822	-88.6277542	1	1
1100.0	-89.0	-80.0	1800.0	100.0	1.91247439	(-1.7407606500146273e-05-2.110960765568108e-05j)	-88.0260544	88.0117416	1	0
1100.0	-89.0	-80.0	1800.0	100.0	1.91247976	(-1.754872313136896e-05-6.618848681972899e-07j)	-88.0080185	87.9938583	1	0
1100.0	-89.0	-80.0	1900.0	100.0	2.72438264	(1.085692118138134e-08-5.902876500125747e-09j)	-88.6392822	-88.6277542	1	1
1100.0	-89.0	-80.0	1900.0	100.0	2.72436333	(-1.1490696451489931e-06+7.969258304074837e-07j)	-88.6212387	-88.6091537	1	1
1100.0	-89.0	-80.0	1900.0	100.0	1.97761071	(1.3856018745640968e-06+1.2372412275571773e-05j)	-88.0981979	88.0832672	1	0
1100.0	-89.0	-80.0	1900.0	100.0	1.97762656	(1.443157647684338e-05-2.4056202345280483e-05j)	-88.080162	88.0653839	1	0
1100.0	-89.0	-80.0	2000.0	100.0	2.65924478	(-1.043532933212376e-06+1.150571299217519e-06j)	-88.5871048	-88.572113	1	1
1100.0	-89.0	-80.0	2000.0	100.0	2.0427258	(-1.714917190736074e-05+2.2108579201733903e-05j)	-88.1523056	88.134285	1	0
1100.0	-89.0	-80.0	2000.0	100.0	2.04273534	(6.355635718806341e-06+5.710599965013683e-06j)	-88.1342697	88.1192169	1	0
1100.0	-89.0	-80.0	2100.0	100.0	2.59425044	(2.7501841618181337e-08+1.7903414806137582e-07j)	-88.567131	-88.5515289	1	1
1100.0	-89.0	-80.0	2100.0	100.0	2.59422803	(3.4250873178737395e-07-1.4886803104891308e-06j)	-88.5490952	-88.5329056	1	1
1100.0	-89.0	-80.0	2100.0	100.0	2.10772228	(-4.160791993565238e-07+1.5573120163912886e-07j)	-88.2244492	88.2059021	1	0
1100.0	-89.0	-80.0	2100.0	100.0	2.10773396	(1.896151521078958e-05+2.64461378730886e-05j)	-88.2064133	88.1880035	1	0
1100.0	-89.0	-80.0	2200.0	100.0	2.52925634	(1.6604180939324464e-06+8.890673998008297e-07j)	-88.5130234	-88.4956436	1	1
1100.0	-89.0	-80.0	2200.0	100.0	2.17266154	(1.8310330863260015e-06-4.5177852116194854e-07j)	-88.2785568	88.2597809	1	0
1100.0	-89.0	-80.0	2200.0	100.0	2.1726737	(-1.533393712644496e-05-2.3343688297111713e-05j)	-88.2605209	88.2417145	1	0
1100.0	-89.0	-80.0	2300.0	100.0	2.46439338	(-9.264363711452951e-07-1.31362743037676e-06j)	-88.4769516	-88.4562912	1	1
1100.0	-89.0	-80.0	2300.0	100.0	2.4643662	(-2.2974607601021565e-07+4.072927395776975e-07j)	-88.4589157	-88.4376373	1	1
